alculated length: 110.793      actual length: 64.222
Calculated length: 85.846       actual length: 25.983
Calculated length: 60.542       actual length: 42.539
Calculated length: 83.443       actual length: 56.72
Calculated length: 89.421       actual length: 28.726
Calculated length: 77.322       actual length: 58.75
Calculated length: 33.12        actual length: 29.08
Calculated length: 104.723      actual length: 51.833
Calculated length: 145.421      actual length: 50.082
Calculated length: 140.507      actual length: nan
Calculated length: 54.859       actual length: 53.491
Calculated length: 59.623       actual length: 39.611
Calculated length: 79.095       actual length: 23.321
Calculated length: 135.938      actual length: 36.298
Calculated length: 77.027       actual length: 59.417
Calculated length: 116.261      actual length: 42.544
Calculated length: 55.987       actual length: 43.838
Calculated length: 117.274      actual length: 59.294
Calculated length: 67.158       actual length: 61.185
Calculated length: 87.187       actual length: 44.346
Calculated length: 52.443       actual length: 63.77
Calculated length: 136.61       actual length: 58.953
Calculated length: 51.969       actual length: 21.613
Calculated length: 113.518      actual length: 58.046
Calculated length: 178.507      actual length: 44.375
Calculated length: 99.912       actual length: 58.113
Calculated length: 134.378      actual length: nan
Calculated length: 50.886       actual length: 28.171
Calculated length: 168.521      actual length: 43.758
Calculated length: 123.329      actual length: 58.558
Calculated length: 124.265      actual length: 58.712
Calculated length: 70.386       actual length: 50.358
Calculated length: 99.65        actual length: 60.316
Calculated length: 57.971       actual length: 57.5
Calculated length: 115.077      actual length: 60.99
Calculated length: 139.529      actual length: nan
Calculated length: 141.158      actual length: 58.131
Calculated length: 52.925       actual length: 37.862
Calculated length: 218.442      actual length: 69.77
Calculated length: 125.478      actual length: 67.357
Calculated length: 138.43       actual length: 59.071
Calculated length: 47.362       actual length: 38.257
Calculated length: 117.837      actual length: 62.989
Calculated length: 124.09       actual length: 66.806
Calculated length: 125.26       actual length: 65.494
Calculated length: 121.758      actual length: 67.074
Calculated length: 114.817      actual length: 62.429
Calculated length: 47.891       actual length: 59.558
Calculated length: 82.338       actual length: 63.122
Calculated length: 91.911       actual length: 58.36
Calculated length: 89.588       actual length: 62.91
Calculated length: 42.681       actual length: 45.689
Calculated length: 119.916      actual length: 60.399
Calculated length: 93.51        actual length: 61.038
Calculated length: 138.386      actual length: 58.312
Calculated length: 133.302      actual length: 60.217
Calculated length: 74.81        actual length: 53.07
Calculated length: 130.175      actual length: 63.569
Calculated length: 75.18        actual length: 23.354
Calculated length: 136.31       actual length: 66.897
Calculated length: 109.482      actual length: 67.285
Calculated length: 149.089      actual length: 55.824
Calculated length: 56.104       actual length: 62.401
